Description,country,commodity,fac_name,latitude,longitude,capacity,Ticker
Peabody Energy Corp.,Australia,Coal: black,North Goonyella longwall coal mine,-21.74,147.98,3000,BTU
Oakbridge Pty. Ltd.,Australia,Coal: black,Baal Bone longwall coal mine,-33.29,150.03,2500,#N/A
Donaldson Coal  Pty. Ltd.,Australia,Coal: black,Donaldson open pit coal  mine,-32.81,151.61,2500,DCI
"Centennial Coal Co. Ltd., manager",Australia,Coal: black,Clarence underground coal mine,-33.46,150.25,2500,#N/A
BHP Billiton Ltd.,Australia,Coal: black,West Cliff longwall coal mine,-34.22,150.82,2300,BBL
Gloucester Coal Ltd.,Australia,Coal: black,Duralie open  pit coal mine,-32.24,150.94,2000,#N/A
Gujarat NRE Resources NL,Australia,Coal: black,Elouera longwall coal mine,-34.48,150.76,2000,#N/A
The Griffin Coal Mining Co. Pty. Ltd.,Australia,Coal: black,Muja open pit coal mine,-33.43,116.31,2000,#N/A
Powercoal Pty. Ltd.,Australia,Coal: black,Awaba underground coal mine,-33.02,151.54,2000,#N/A
Bloomfield Colliers Pty. Ltd.,Australia,Coal: black,Rixs Creek open pit coal mine,-32.49,151.13,2000,#N/A
Muswellbrook Coal Co.,Australia,Coal: black,Muswellbrook No. 2 open pit coal mine,-32.27,150.84,1700,#N/A
Centennial Coal Co. Ltd.,Australia,Coal: black,Myuna underground coal mine,-33.06,151.57,1500,#N/A
Griffin Coal Mining Co. Pty. Ltd.,Australia,Coal: black,Ewington II open pit coal mine,-33.36,116.26,1000,#N/A
Loy Yang Power Ltd.,Australia,Coal: brown,Loy Yang open pit lignite mine at Traralgon,-38.26,146.57,30000,#N/A
International Power Hazelwood,Australia,Coal: brown,Hazelwood open pit lignite mine at Morwell,-38.26,146.38,20000,IBM
CLP Power Asia Ltd.,Australia,Coal: brown,Yallourn open pit lignite mine,-38.2,146.35,18000,#N/A
Fox Resources Ltd.,Australia,Cobalt,Radio Hill underground nickel-cobalt mine,-20.98,116.86,200,#N/A
