Description,country,commodity,fac_name,latitude,longitude,capacity,Ticker
Yakin Oheyama Co. Ltd.,Japan,Nickel: ferronickel,Plant at Oheyama,35.48,135.17,13,#N/A
Tokyo Nickel Co. Ltd.,Japan,Nickel: oxide,Plant at Matsuzaka,34.6,136.57,60,#N/A
Sumitomo Metal Mining Co. Ltd.,Japan,Nickel: refined,Refinery at Niihama,33.96,133.26,36,SMFG
Agriculture Industry Development Enterprises,Laos,Coal: anthracite,Mine at Savannakhet,18.93,102.45,60,#N/A
Viengphoukha Coal Mine Co. Ltd. of Thailand,Laos,Coal: lignite,Mine at Viengphoukha,20.95,101.4,300,#N/A
Lane Xang Minerals Ltd. (LXML) (wholly owned subsidiary of Oxiana Ltd.),Laos,Copper: mine Cu output,Mine at Sepon,16.96,105.99,67.6,#N/A
Lane Xang Minerals Ltd. (LXML) (wholly owned subsidiary of Oxiana Ltd.),Laos,Copper: refined,Refinery at Sepon,16.96,105.99,63,#N/A
Government Coal Mining Enterprise,Mongolia,Coal,Baganuur mine,47.74,108.32,4000,#N/A
Chinhua-Mak Nrlin Sukhait Co. (Sino-Mongolian joint venture),Mongolia,Coal,Nariin Sukhait mine,43,104,3000,#N/A
Government Coal Mining Enterprise,Mongolia,Coal,Shivee Ovoo mine,46.22,108.53,2000,#N/A
Erdenet Mining Corp. (Mongolian-Russia joint venture),Mongolia,Copper,Erdenet mine,49.02,104.13,0,#N/A
Erdenet Mining Corp. (Mongolian-Russia joint venture),Mongolia,Copper,Erdene mineral processing plant,49.04,104.15,0,#N/A
Erdenet Mining Corp. (Mongolian-Russia joint venture),Mongolia,"Copper: concentrate, Cu content",Mine at Bulgan Province,49.04,104.15,0,#N/A
Soci�t� Le Nickel (SLN),New Caledonia,Cobalt,Kouaoua mining center,-21.45,165.76,2,#N/A
Soci�t� Le Nickel (SLN),New Caledonia,Cobalt,Nepoui-Kopeto mining center,-21.2,165.08,2,#N/A
Soci�t� Le Nickel (SLN),New Caledonia,Cobalt,Poro mining center,-21.31,165.73,2,#N/A
Soci�t� Le Nickel (SLN),New Caledonia,Cobalt,Thio mining center,-21.62,166.18,2,#N/A
Soci�t� Le Nickel (SLN),New Caledonia,Cobalt,Tiebaghi mining center,-20.45,164.22,2,#N/A
Soci�t� Mini�re du Sud Pacifique,New Caledonia,Cobalt,Boakaine mining center,-21.49,165.92,1,#N/A
Soci�t� Mini�re du Sud Pacifique,New Caledonia,Cobalt,Ouaco mining center,-20.75,164.48,1,#N/A
Soci�t� Mini�re du Sud Pacifique,New Caledonia,Cobalt,Poum mining center,-20.25,164.04,1,#N/A
Soci�t� Mini�re du Sud Pacifique,New Caledonia,Cobalt,Poya mining center,-21.31,165.16,1,#N/A
Soci�t� M�tallurgique le Nickel-Soci�t� Le Nickel (SLN),New Caledonia,Nickel: ferronickel,"Plant at Doniambo, Noumea",-22.25,166.44,60,#N/A
Soci�t� M�tallurgique le Nickel-Soci�t� Le Nickel (SLN),New Caledonia,Nickel: nickel matte,"Plant at Doniambo, Noumea",-22.25,166.44,15,#N/A
Soci�t� Le Nickel (SLN),New Caledonia,Nickel: ore and  concentrate,Kouaoua mining center,-21.45,165.76,62,#N/A
Soci�t� Le Nickel (SLN),New Caledonia,Nickel: ore and  concentrate,Nepoui-Kopeto mining center,-21.2,165.08,62,#N/A
Soci�t� Le Nickel (SLN),New Caledonia,Nickel: ore and  concentrate,Poro mining center,-21.31,165.73,62,#N/A
Soci�t� Le Nickel (SLN),New Caledonia,Nickel: ore and  concentrate,Thio mining center,-21.62,166.18,62,#N/A
Soci�t� Le Nickel (SLN),New Caledonia,Nickel: ore and  concentrate,Tiebaghi mining center,-20.45,164.22,62,#N/A
"Soci�t� Mini�re du Sud Pacifique including Nickel Mining Corp., and Noum�a Nickel",New Caledonia,Nickel: ore and  concentrate,Baokaine mining center,-21.49,165.92,36,#N/A
"Soci�t� Mini�re du Sud Pacifique including Nickel Mining Corp., and Noum�a Nickel",New Caledonia,Nickel: ore and  concentrate,Kouaoua mining center,-21.45,165.76,36,#N/A
"Soci�t� Mini�re du Sud Pacifique including Nickel Mining Corp., and Noum�a Nickel",New Caledonia,Nickel: ore and  concentrate,Nakety mining center,-21.53,166.09,36,#N/A
"Soci�t� Mini�re du Sud Pacifique including Nickel Mining Corp., and Noum�a Nickel",New Caledonia,Nickel: ore and  concentrate,Ouaco mining center,-20.75,164.48,36,#N/A
"Soci�t� Mini�re du Sud Pacifique including Nickel Mining Corp., and Noum�a Nickel",New Caledonia,Nickel: ore and  concentrate,Poum mining center,-20.25,164.04,36,#N/A
"Soci�t� Mini�re du Sud Pacifique including Nickel Mining Corp., and Noum�a Nickel",New Caledonia,Nickel: ore and  concentrate,Poya mining center,-21.31,165.16,36,#N/A
Soci�t� de la Tontouta (Ballande Group),New Caledonia,Nickel: ore and  concentrate,Moneo mining center,-21.15,165.49,16,#N/A
Soci�t� de la Tontouta (Ballande Group),New Caledonia,Nickel: ore and  concentrate,Nakety mining center,-21.53,166.09,16,#N/A
"Other small nickel mining companies, which include Soci�t� Mini�re George Montanant SA, GEMINI S.A.",New Caledonia,Nickel: ore and  concentrate,Moneo mining center,-21.15,165.49,7,#N/A
"Other small nickel mining companies, which include Soci�t� Mini�re George Montanant SA, GEMINI S.A.",New Caledonia,Nickel: ore and  concentrate,Nakety-Bogota mining center,-21.53,166.09,7,#N/A
"Other small nickel mining companies, which include Soci�t� Mini�re George Montanant SA, GEMINI S.A.",New Caledonia,Nickel: ore and  concentrate,Tontouta mining center,-21.93,166.21,7,#N/A
New Zealand Aluminum Smelters Ltd.,New Zealand,Aluminum,Tiwai Point plant,-46.59,168.38,350,#N/A
Solid Energy New Zealand Ltd.,New Zealand,Coal,Stockton open pit mine,-41.67,171.87,2500,#N/A
Solid Energy New Zealand Ltd.,New Zealand,Coal,Mine at Hamilton,-37.78,175.28,1500,#N/A
Solid Energy New Zealand Ltd.,New Zealand,Coal,Rotowaro open pit mine,-37.61,175.08,1500,#N/A
Pike River Coal Ltd.,New Zealand,Coal,Pike River underground mine,-42.04,171.8,1000,#N/A
Solid Energy New Zealand Ltd.,New Zealand,Coal,Spring Creek underground mine,-42.5,171.19,1000,#N/A
Solid Energy New Zealand Ltd.,New Zealand,Coal,Huntly East underground mine,-37.54,175.18,500,#N/A
Solid Energy New Zealand Ltd.,New Zealand,Coal,Ohai open pit mine,-45.93,167.95,200,#N/A
Solid Energy New Zealand Ltd.,New Zealand,Coal,Terrace underground mine,-42.1,171.85,100,#N/A
Anju Coal Mining Complex and Sunchon Coal Mining Complex,North Korea,Coal,Mine at Anju,39.62,125.66,9500,#N/A
Anju Coal Mining Complex and Sunchon Coal Mining Complex,North Korea,Coal,Mine at Kaechon,39.67,125.97,9500,#N/A
Anju Coal Mining Complex and Sunchon Coal Mining Complex,North Korea,Coal,Mine at Pukchang,39.63,126.31,9500,#N/A
Anju Coal Mining Complex and Sunchon Coal Mining Complex,North Korea,Coal,Mine at Sunchon,39.41,125.96,9500,#N/A
Anju Coal Mining Complex and Sunchon Coal Mining Complex,North Korea,Coal,Mine at Tokechon,39.71,126.3,9500,#N/A
Saebyo Coal Mining Complex,North Korea,Coal,Mine at Saebyo,42.81,130.2,6000,#N/A
Hyesan Youth Copper Mine,North Korea,Copper: mine Cu output,Mine at Hyesan,41.29,128.35,13,#N/A
Sindh Coal Authority,Pakistan,Coal,Mine at Thar,24.62,70.21,0,#N/A
Sindh Coal Authority,Pakistan,Coal,Mine at Dadu,25.71,68.15,4000,#N/A
Saindak Metals Ltd.,Pakistan,Copper,Plant at Chagai,29.29,64.67,22,#N/A
"Ok Tedi Mining Ltd., operator",Papua New Guinea,Copper,Ok Tedi open pit mine,-5.21,141.14,210,#N/A
"Ok Tedi Mining Ltd., operator",Papua New Guinea,Copper,Ok Tedi open pit mine,-5.21,141.14,210,#N/A
Philippine Associated Smelting and Refining Corp. (PASAR),Philippines,Copper,Smelter at Isabel,10.9,124.44,250,PHI
Philippine Associated Smelting and Refining Corp. (PASAR),Philippines,Copper,Refinery at Isabel,10.9,124.44,173,PHI
"Lafayette Mining, Ltd.",Philippines,Copper,Rapu-Rapu Mine under the Rapu-Rapu polymetallic project,13.19,124.12,36,#N/A
Philex Mining Corp.,Philippines,Copper,Padcal Copper Project,16.31,120.54,21,#N/A
Lepanto Consolidated Mining Company,Philippines,Copper,Teresa Mine,16.87,120.76,0.2,#N/A
Lepanto Consolidated Mining Company,Philippines,Copper,Victoria Mine,16.87,120.76,0.2,#N/A
Hinatuan Mining Corp.,Philippines,Nickel,Tagana-an Nickel Project,9.77,125.71,30,#N/A
"SR Metals, Inc.",Philippines,Nickel,SR Nickel Project - Tubay Mine,9.16,125.53,25,#N/A
Nickel Asia Corp.,Philippines,Nickel,Claver Nickel Project (Taganito),9.48,125.8,12,#N/A
CTP Construction and Mining Corp.,Philippines,Nickel,Adlay-Cagdianao-Tandawa (ACT) Nickel Project,9.36,125.84,10,#N/A
Nickel Asia Corp.,Philippines,Nickel,Cagdianao Nickel Project,9.92,125.67,10,#N/A
Toledo Mining Corporation Plc,Philippines,Nickel,Berong Nickel Project,9.47,118.21,10,#N/A
Coral Bay Nickel Corp.,Philippines,Nickel,Coral Bay nickel high pressure acid leach (HPAL) plant,8.5,117.44,10,#N/A
Nickel Asia Corp.,Philippines,Nickel,Rio Tuba Nickel Project,8.5,117.44,5,#N/A
Hinatuan Mining Corp.,Philippines,Nickel,South Dinagat Project,9.84,125.62,4,#N/A
CRAU Mineral Resources Corp.,Philippines,Nickel,Sta. Cruz-Candelaria Nickel Project,15.72,120.06,1,#N/A
Korea Coal Corp.,Republic of Korea,Coal,Mine at Changsung,34.88,128.62,2000,#N/A
Korea Coal Corp.,Republic of Korea,Coal,Mine at Dogae,35.8,128.55,2000,#N/A
Korea Coal Corp.,Republic of Korea,Coal,Mine at Hwasoon,35.03,127.07,2000,#N/A
LS-Nikko Copper Inc.,Republic of Korea,"Copper: metal, primary",Smelter at Onsan,35.43,129.35,510,#N/A
LS-Nikko Copper Inc.,Republic of Korea,"Copper: metal, primary",Plant at Chanhang,34.74,127,60,#N/A
Korea Zinc Co. Ltd.,Republic of Korea,"Copper: metal, primary",Smelter at Onsan,35.43,129.35,20,#N/A
Korea Nickel Corp.,Republic of Korea,Nickel: metal,Plant at Kangwon,39.15,127.44,48,#N/A
Taiwan Nickel Refinery,Taiwan,Nickel,Plant at Kaohsiung,22.62,120.31,14,#N/A
Electricity Generating Authority of Thailand,Thailand,Coal: lignite,Mine at Mae Moh,18.32,99.74,20000,#N/A
Banpu Public Co. Ltd.,Thailand,Coal: lignite,Mine at Chiang Muan,18.88,100.3,3400,#N/A
Banpu Public Co. Ltd.,Thailand,Coal: lignite,Mine at Lampang (LP-2),18.3,99.51,3400,#N/A
Lanna Lignite Public Co. Ltd.,Thailand,Coal: lignite,Mine at Ban Pakha,15.31,101.97,1000,#N/A
Thai Copper Industries Plc,Thailand,Copper: refined,Refinery at Rayong,12.84,101.44,165,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Cam Pha,21.02,107.32,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Cao Son,18.9,105.16,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Cac Sau,21.25,107.33,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Cua Ong,21.02,107.32,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Deo Nai,21.02,107.29,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Dong Trieu,21.08,106.52,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Ha Lam,15.72,108.35,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Ha Tu,20.96,107.15,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Hong Gai,20.97,107.14,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Khe Cham,21.58,104.77,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Mao Khe,21.07,106.62,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Mong Duong,21.02,107.32,40000,#N/A
Vietnam National Coal Corp. (100% state-owned),Vietnam,Coal: anthracite,Mine at Uong Bi in Quang Ninh Province,21.04,106.79,40000,#N/A
Lao Cai Copper Complex (wholly owned subsidiary of Vietnam National Minerals Corp.),Vietnam,"Copper: concentrate, Cu content",Mine at Sin Queyen,22.48,103.95,11,#N/A
Tang Loong Lao Cai Copper Smelting Enterprise (wholly owned subsidiary of Vietnam National Minerals Corp.),Vietnam,Copper: refined,Refinery at Tang Loong Long Commune,22.33,104.12,10,#N/A
"Comsup Commodities, Inc. (United States)",Armenia,"Copper: mine output, Cu content",Facilities: Agarak copper-molybdenum mining and processing complex,38.91,46.19,30,#N/A
(OJSC) Azerbaijan Aluminum,Azerbaijan,Aluminum,Sumqayit smelter,40.58,49.64,60,#N/A
Kazzinc JSC,Kazakhstan,"Copper: concentrate, Cu content",Maleevsky Mine,49.78,84.32,62,#N/A
Kazakhmys PLC Mines,Kazakhstan,"Copper: concentrate, Cu content",Sayak Complex,46.96,75,40,#N/A
Kazakhmys PLC Mines,Kazakhstan,"Copper: concentrate, Cu content",Mine at Shatyrkul,43.65,73.87,12.7,#N/A
Kazakhmys PLC Mines,Kazakhstan,"Copper: concentrate, Cu content",Belousovskoe and Irtyshskoe Mines; Irtysh Complex,50.13,82.51,8.4,#N/A
Kazakhmys PLC Mines,Kazakhstan,"Copper: concentrate, Cu content",Mine at  Artemyevskoe,50,82.5,7.8,#N/A
Kazakhmys PLC Mines,Kazakhstan,"Copper: metal, refined",Smelter and refinery at Balkash,52.52,68.75,250,#N/A
Kazakhmys PLC Mines,Kazakhstan,"Copper: metal, refined",Smelter and refinery at Zhezkazgan,47.78,67.76,215,#N/A
Kazzinc JSC,Kazakhstan,"Copper: metal, refined",Smelter at Ust-Kamenogorsk,49.99,82.61,8,#N/A
RUSAL,Russia,Aluminum: primary smelter,Bratsk plant,56.13,101.45,950,#N/A
RUSAL,Russia,Aluminum: primary smelter,Krasnoyarskiy plant,56.09,93,875,#N/A
RUSAL,Russia,Aluminum: primary smelter,Sayansk plant,53.2,91.45,425,#N/A
RUSAL,Russia,Aluminum: primary smelter,Khakaz plant,53.2,91.46,300,#N/A
RUSAL,Russia,Aluminum: primary smelter,Novokuznetsk plant,53.78,87.24,300,#N/A
SUAL Group,Russia,Aluminum: primary smelter,Irkutsk plant,52.19,104.09,300,#N/A
SUAL Group,Russia,Aluminum: primary smelter,Bogoslovsky plant,59.77,60.19,175,#N/A
SUAL Group,Russia,Aluminum: primary smelter,Volgograd plant,48.83,44.59,175,#N/A
SUAL Group,Russia,Aluminum: primary smelter,Uralsk plant,56.37,61.97,150,#N/A
SUAL Group,Russia,Aluminum: primary smelter,Kandalaksha plant,67.2,32.44,75,#N/A
SUAL Group,Russia,Aluminum: primary smelter,Nadvoitsy plant,63.88,34.27,75,#N/A
SUAL Group,Russia,Aluminum: primary smelter,Volkhov plant,59.91,32.34,20,#N/A
Kuzbass,Russia,Coal,Kuzntesk Basin,53.12,46.61,160,#N/A
Tajik Aluminum Company (formerly Tajikistan Aluminum Smelter [TadAZ]),Tajikistan,Aluminum: primary smelter,TALCO at Tursunzade,38.55,68.22,517,#N/A
Central Asian Coal Association (mining),Uzbekistan,Coal,Angren brown coal deposit,41.04,70.18,"6,000",CAML.L
Central Asian Coal Association (mining),Uzbekistan,Coal,Baysunskoye and Shargunskoye deposits,37.2,67.31,"1,000",CAML.L
AMAG Casting GmbH,Austria,Aluminum,Secondary ingot plant at Ranshofen,48.22,13.03,50,#N/A
Aluminum Lend GmbH,Austria,Aluminum,Secondary ingot plant at Lend,47.3,13.05,25,#N/A
Montanwerke Brixlegg AG,Austria,Copper: secondary,Smelter at Brixlegg,47.43,11.87,0,#N/A
NV Umicore SA,Belgium,Cobalt,Refinery at Olen,51.18,4.89,0.5,#N/A
NV Umicore SA,Belgium,Copper,Refinery at Olen,51.18,4.89,330,#N/A
Metallo-Chimique NV,Belgium,Copper,Smelter at Beerse,51.32,4.82,80,#N/A
NV Umicore SA,Belgium,Copper,Smelter at Antwerp-Hoboken,51.17,4.36,50,#N/A
Aluminij d.d. Mostar,Bosnia and Herzegovina,Aluminum,Smelter at Mostar,43.28,17.83,150,#N/A
"SOUR Titovi Rudnici Uglja, Tuzla",Bosnia and Herzegovina,Coal: brown,Mine in Bihac,44.82,15.87,12000,#N/A
"SOUR Titovi Rudnici Uglja, Tuzla",Bosnia and Herzegovina,Coal: lignite,Mine in Bihac,44.82,15.87,7000,#N/A
Economic Mining and Power Combine (SMEK) Balkanbass,Bulgaria,Coal: bituminous,Mine at Balkan,43.25,25,445,#N/A
G. Dimitrov,Bulgaria,Coal: brown,Mine at Pernik,42.59,22.98,4000,#N/A
Others,Bulgaria,Coal: brown,Mine at Bobov Dol,42.37,23.02,3100,#N/A
Others,Bulgaria,Coal: brown,Mine at Pirin,41.55,23.56,3100,#N/A
SMEK East Maritsa,Bulgaria,Coal: lignite,Mine at East Maritsa,42.22,24.8,25000,#N/A
Others,Bulgaria,Coal: lignite,Mine at Bobov Dol,42.37,23.02,5300,#N/A
Others,Bulgaria,Coal: lignite,Mine at Marbas,42.59,22.98,5300,#N/A
Others,Bulgaria,Coal: lignite,Mine at Pernik,42.59,22.98,5300,#N/A
Asarel-Medet AD.,Bulgaria,"Copper: concentrate, Cu content",Mine at Panagurishte,42.55,24.14,55,#N/A
Asarel-Medet AD.,Bulgaria,"Copper: concentrate, Cu content",Plant at Panagurishte,42.55,24.13,55,#N/A
Elatzite-Med Ltd.,Bulgaria,"Copper: concentrate, Cu content",Mine at Srednogorie,42.7,24.02,20,#N/A
Elatzite-Med Ltd.,Bulgaria,"Copper: concentrate, Cu content",Plant at Srednogorie,42.7,24.02,20,#N/A
Chelopech Mining Ltd,Bulgaria,"Copper: concentrate, Cu content",Mine at Chelopech,42.7,24.07,15,#N/A
Chelopech Mining Ltd,Bulgaria,"Copper: concentrate, Cu content",Plant at Chelopech,42.7,24.07,15,#N/A
Bradtze,Bulgaria,"Copper: concentrate, Cu content",Mine at Malko Turnovo,41.98,27.53,2,#N/A
Bradtze,Bulgaria,"Copper: concentrate, Cu content",Plant at Malko Turnovo,41.98,27.53,2,#N/A
Tsar Asen,Bulgaria,"Copper: concentrate, Cu content",Mine at Srednogorie,42.36,24.34,2,#N/A
Tsar Asen,Bulgaria,"Copper: concentrate, Cu content",Plant at Srednogorie,42.36,24.34,2,#N/A
Rosen,Bulgaria,"Copper: concentrate, Cu content",Mine at Burgas,42.44,27.38,1,#N/A
"Burgaskii Mines Ltd., Zidorovo",Bulgaria,"Copper: concentrate, Cu content",Mine at Burgas,42.44,27.38,0.5,#N/A
Cumerio Med SA (Pirdop),Bulgaria,Copper: metal,Mine at Pirdop,42.75,24.03,150,#N/A
Cumerio Med SA (Pirdop),Bulgaria,Copper: metal,Plant at Pirdop,42.72,24.17,150,#N/A
Cumerio Med SA (Pirdop),Bulgaria,"Copper: metal, refined",Mine at Pirdop,42.75,24.03,30,#N/A
Cumerio Med SA (Pirdop),Bulgaria,"Copper: metal, refined",Plant at Pirdop,42.72,24.17,30,#N/A
Top-Tvornica Olovni i Aluminjskikh,Croatia,Aluminum,Semimanufactures producer at Savska,45.45,16.39,0,#N/A
TLM d.d.,Croatia,Aluminum,Smelter at Sibenik,43.71,15.91,75,#N/A
Istarski Ugljenokopi Rasa,Croatia,Coal: bituminous,Mine at Labin,45.08,14.13,500,#N/A
Istarski Ugljenokopi Rasa,Croatia,Coal: bituminous,Mine at Potpican,45.2,14.09,500,#N/A
"A & E Aluminum Recycling, Ltd.",Cyprus,Aluminum: secondary,Plant at Nicosia,35.17,33.37,0,#N/A
"Muskita Aluminum Industries, Ltd.",Cyprus,Aluminum: semimanufactures,Extrusion presses at Limassol,34.67,33,18,#N/A
Kovohute Holdings DT - Mnisek Division,Czech Republic,Aluminum: secondary,Smelter at Mnisek,49.03,14.91,70000,#N/A
Alcan Decin Extrusions s.r.o,Czech Republic,Aluminum: secondary,Smelter at Decin,50.77,14.21,40000,#N/A
OKD a.s Ostrava,Czech Republic,Coal: bituminous,Mine at Ostrava-Karvina,49.74,18.3,20000,#N/A
Sokolovska Uhelna a.s,Czech Republic,Coal: brown,Mine at Sokolov,50.21,12.67,30000,#N/A
Mostecka Uhelna Spolecnost a.s,Czech Republic,Coal: brown,Mine at Most,50.51,13.58,17000,#N/A
Severoceske Doly a.s,Czech Republic,Coal: brown,Mine at Chomotuv,50.42,13.37,14000,#N/A
Lignit Hodonin s.r.o,Czech Republic,Coal: lignite,Mine at Hodonin,48.87,17.13,1000,#N/A
Outokumpu Oyj,Finland,Copper: metal,Smelter at Harjavalta,61.32,22.13,160,#N/A
Outokumpu Oyj,Finland,Copper: metal,Refinery at Pori,61.6,21.51,125,#N/A
Inmet Mining Corp.,Finland,Copper: ore,Mine at Pyhasalmi,63.67,26.03,10,#N/A
Inmet Mining Corp.,Finland,Copper: ore,Mine at Saattopora,67.79,24.41,10,#N/A
"OM Group, Inc.",Finland,Nickel: metal,Refinery at Harjavalta,61.32,22.13,50,#N/A
Outokumpu Oyj,Finland,Nickel: metal,Smelter at Harjavalta,61.32,22.13,32,#N/A
Aluminum Dunkerque,France,Aluminum,Smelter at Dunkerque,51,2.17,250,#N/A
Aluminum Pechiney,France,Aluminum,Smelter at Saint-Jean-de-Maurienne,45.27,6.38,120,#N/A
Aluminum Pechiney,France,Aluminum,Smelter at Nogueres,43.37,-0.59,115,#N/A
Aluminum Pechiney,France,Aluminum,Smelter at Pyrenees,43.09,0.38,115,#N/A
Aluminum Pechiney,France,Aluminum,Smelter at Lannemezan,43.09,0.38,63,#N/A
Soci�t� M�tallurgique le Nickel (SLN),France,Cobalt,"Plant at Sandouville, near Le Havre",49.48,0.32,600,#N/A
Compagnie G�n�rale d'�lectrolyse du Palais,France,Copper: metal,Electrolytic plant at Palais-sur-Vienne,45.85,1.3,45,#N/A
Soci�t� Fran�aise d'Affinage du Cuivre,France,Copper: metal,"Smelter at Poissy, Yvelines",48.94,2.05,11,#N/A
Soci�t� M�tallurgia le Nickel (SLN),France,Nickel: metal,Plant at Sandouville,49.48,0.3,16,#N/A
Aluminum Norf GmbH,Germany,Aluminum,Lippenwerk at L�nen (Secondary),51.21,6.71,600,#N/A
Aluminum Norf GmbH,Germany,Aluminum,Primary rolling mill at Neuss,51.49,6.97,600,#N/A
Aleris Recycling (German Works) GmbH,Germany,Aluminum,Secondary smelter: Neckarwerk at Deizisau,51.09,6.62,320,#N/A
Aleris Recycling (German Works) GmbH,Germany,Aluminum,Secondary smelter:  Erftwerk at Grevenbroich,48.25,12.59,320,#N/A
Aleris Recycling (German Works) GmbH,Germany,Aluminum,Secondary smelter: Innwerk at T�ging am Inn,51.61,7.51,320,#N/A
Hydro Aluminum Deutschland GmbH,Germany,Aluminum,Primary rolling mill at Grevenbroich,51.15,6.78,300,#N/A
Hydro Aluminum Deutschland GmbH,Germany,Aluminum,Primary smelter:  Rheinwerk at Neuss,53.65,9.5,300,#N/A
Trimet Aluminum AG,Germany,Aluminum,Smelter at Essen-Borbeck,51.08,6.62,155,#N/A
Metallh�ttenwerke Bruch GmbH,Germany,Aluminum,Secondary cast alloy plant at Asperg,48.92,9.15,110,#N/A
Metallh�ttenwerke Bruch GmbH,Germany,Aluminum,Secondary cast alloy plant at Bad S�ckingen,47.56,7.91,110,#N/A
Metallh�ttenwerke Bruch GmbH,Germany,Aluminum,Secondary foundry alloy plant at Dortmund,51.54,7.46,110,#N/A
Corus Aluminum Voerde GmbH,Germany,Aluminum,Mill at Koblenz,50.39,7.59,100,#N/A
Corus Aluminum Voerde GmbH,Germany,Aluminum,"Primary smelter at Voerde, North Rhine-Westphalia",51.62,6.66,100,#N/A
Deutsche Steinkohle AG,Germany,Coal: anthracite and bituminous,Mine at Lohberg-Osterfeld,51.05,6.58,18000,#N/A
Deutsche Steinkohle AG,Germany,Coal: anthracite and bituminous,Augusta Victoria/Blumenthal Mine,51.68,7.15,18000,#N/A
Deutsche Steinkohle AG,Germany,Coal: anthracite and bituminous,Prosper-Haniel Mine,51.52,6.72,18000,#N/A
Deutsche Steinkohle AG,Germany,Coal: anthracite and bituminous,Walsum Mine,51.55,6.88,18000,#N/A
Deutsche Steinkohle AG,Germany,Coal: anthracite and bituminous,Lippe Mine,51.5,6.99,18000,#N/A
Deutsche Steinkohle AG,Germany,Coal: anthracite and bituminous,Ost Mine,49.24,6.88,18000,#N/A
Deutsche Steinkohle AG,Germany,Coal: anthracite and bituminous,West Mine,49.24,6.88,18000,#N/A
Deutsche Steinkohle AG,Germany,Coal: anthracite and bituminous,Saar Mine,49.35,6.76,6000,#N/A
Deutsche Steinkohle AG,Germany,Coal: anthracite and bituminous,Ibbenb�ren Mine,52.29,7.74,2100,#N/A
RWE Power Aktiengesellschaft,Germany,Coal: lignite,Mine at Bergheim,50.95,6.67,105000,#N/A
RWE Power Aktiengesellschaft,Germany,Coal: lignite,Mine at Garzweiler,51.05,6.52,105000,#N/A
RWE Power Aktiengesellschaft,Germany,Coal: lignite,Mine at Hambach,50.9,6.48,105000,#N/A
RWE Power Aktiengesellschaft,Germany,Coal: lignite,Mine at Inden,50.87,6.33,105000,#N/A
Vattenfall Europe Mining AG,Germany,Coal: lignite,Mine at Boxberg,51.43,14.58,60000,#N/A
Vattenfall Europe Mining AG,Germany,Coal: lignite,Mine at J�nschwalde,51.87,14.5,60000,#N/A
Vattenfall Europe Mining AG,Germany,Coal: lignite,Mine at Schwarze Pumpe,51.58,14.33,60000,#N/A
Norddeutsche Affinerie AG,Germany,Copper: cathodes,Primary smelter and refinery and secondary plant at Hamburg,53.52,10.04,560,#N/A
H�ttenwerke Kayser AG,Germany,Copper: cathodes,Secondary plant and refinery at L�nen,51.61,7.51,185,#N/A
Aluminum de Gr�ce S.A. (AdG),Greece,Aluminum,"Agios Nikolaos, Boeotia area",38.24,22.96,160,#N/A
Public Power Corporation,Greece,Coal: lignite,Ptolemais mine,40.45,21.8,28000,#N/A
Public Power Corporation,Greece,Coal: lignite,Megalopolis mine,37.38,22.11,7000,PUPOF
Public Power Corporation,Greece,Coal: lignite,Aliveri mine,38.43,24.04,420,PUPOF
Larco G.M.M. S.A.,Greece,"Ferroalloys: Ferronickel, Ni content",Larymna metallurgical plant,38.56,23.29,25,#N/A
Larco G.M.M. S.A.,Greece,Nickel: ore,Evia Mine,38.58,23.27,1500,#N/A
