Description,country,commodity,fac_name,latitude,longitude,capacity,symbol,Company_Type,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,exchange,date
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,71.0,71.98,70.05,71.81,912082.0,71.98,70.05,71.81,71.0,912082.0,1.0,XNYS,2021-01-12
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,69.18,71.33,68.58,70.66,904176.0,71.33,68.58,70.66,69.18,904176.0,1.0,XNYS,2021-01-11
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,71.09,71.46,69.95,71.44,888346.0,71.46,69.95,71.44,71.09,888346.0,1.0,XNYS,2021-01-08
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,70.0,71.35,69.755,71.18,1232629.0,71.35,69.755,71.18,70.0,1232629.0,1.0,XNYS,2021-01-07
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,68.57,69.7,68.12,68.95,1074708.0,69.7,68.12,68.95,68.57,1074708.0,1.0,XNYS,2021-01-06
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,66.95,68.22,66.85,68.16,1049831.0,68.22,66.85,68.16,66.95,1049831.0,1.0,XNYS,2021-01-05
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,67.38,68.5,66.85,67.27,1482361.0,68.5,66.85,67.27,67.38,1482361.0,1.0,XNYS,2021-01-04
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,65.9,65.9,64.762,65.12,491314.0,65.9,64.762,65.12,65.9,491314.0,1.0,XNYS,2020-12-31
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,64.27,65.88,64.27,65.82,738630.0,65.88,64.27,65.82,64.27,738630.0,1.0,XNYS,2020-12-30
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,63.68,64.5,63.1954,64.27,516529.0,64.5,63.1954,64.27,63.68,516529.0,1.0,XNYS,2020-12-29
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,65.0,65.18,63.2414,63.53,410652.0,65.18,63.2414,63.53,65.0,410652.0,1.0,XNYS,2020-12-28
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,64.74,64.98,64.02,64.1,365208.0,64.98,64.02,64.1,64.74,365208.0,1.0,XNYS,2020-12-24
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,63.43,64.46,63.395,64.41,1081155.0,64.46,63.395,64.41,63.43,1081155.0,1.0,XNYS,2020-12-23
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,63.6,63.66,62.46,63.1,820313.0,63.66,62.46,63.1,63.6,820313.0,1.0,XNYS,2020-12-22
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,61.44,63.835,61.0097,63.79,775796.0,63.835,61.0097,63.79,61.44,775796.0,1.0,XNYS,2020-12-21
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,62.97,63.41,62.27,62.75,1127504.0,63.41,62.27,62.75,62.97,1127504.0,1.0,XNYS,2020-12-18
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,62.56,63.6,62.5,62.91,1082985.0,63.6,62.5,62.91,62.56,1082985.0,1.0,XNYS,2020-12-17
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,61.01,62.8755,60.7,61.77,1026324.0,62.8755,60.7,61.77,61.01,1026324.0,1.0,XNYS,2020-12-16
